Format,1.0B,
Memory Length,10000,Memory Length,10000,Memory Length,10000,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
0, ,0, ,1, ,
